Date,value
12/1/1998,277526
1/1/1999,277790
2/1/1999,277992
3/1/1999,278198
4/1/1999,278451
5/1/1999,278717
6/1/1999,279001
7/1/1999,279295
8/1/1999,279602
9/1/1999,279903
10/1/1999,280203
11/1/1999,280471
12/1/1999,280716
1/1/2000,280976
2/1/2000,281190
3/1/2000,281409
4/1/2000,281653
5/1/2000,281877
6/1/2000,282126
7/1/2000,282385
8/1/2000,282653
9/1/2000,282932
10/1/2000,283201
11/1/2000,283453
12/1/2000,283696
1/1/2001,283920
2/1/2001,284137
3/1/2001,284350
4/1/2001,284581
5/1/2001,284810
6/1/2001,285062
7/1/2001,285309
8/1/2001,285570
9/1/2001,285843
10/1/2001,286098
11/1/2001,286341
12/1/2001,286570
1/1/2002,286788
2/1/2002,286994
3/1/2002,287190
4/1/2002,287397
5/1/2002,287623
6/1/2002,287864
7/1/2002,288105
8/1/2002,288360
9/1/2002,288618
10/1/2002,288870
11/1/2002,289106
12/1/2002,289313
1/1/2003,289518
2/1/2003,289714
3/1/2003,289911
4/1/2003,290125
5/1/2003,290346
6/1/2003,290584
7/1/2003,290820
8/1/2003,291072
9/1/2003,291321
10/1/2003,291574
11/1/2003,291807
12/1/2003,292008
1/1/2004,292192
2/1/2004,292368
3/1/2004,292561
4/1/2004,292779
5/1/2004,292997
6/1/2004,293223
7/1/2004,293463
8/1/2004,293719
9/1/2004,293971
10/1/2004,294230
11/1/2004,294466
12/1/2004,294694
1/1/2005,294914
2/1/2005,295105
3/1/2005,295287
4/1/2005,295490
5/1/2005,295704
6/1/2005,295936
7/1/2005,296186
8/1/2005,296440
9/1/2005,296707
10/1/2005,296972
11/1/2005,297207
12/1/2005,297431
1/1/2006,297647
2/1/2006,297854
3/1/2006,298060
4/1/2006,298281
5/1/2006,298496
6/1/2006,298739
7/1/2006,298996
8/1/2006,299263
9/1/2006,299554
10/1/2006,299835
11/1/2006,300094
12/1/2006,300340
1/1/2007,300574
2/1/2007,300802
3/1/2007,301021
4/1/2007,301254
5/1/2007,301483
6/1/2007,301739
7/1/2007,302004
8/1/2007,302267
9/1/2007,302546
10/1/2007,302807
11/1/2007,303054
12/1/2007,303287
1/1/2008,303506
2/1/2008,303711
3/1/2008,303907
4/1/2008,304117
5/1/2008,304323
6/1/2008,304556
7/1/2008,304798
8/1/2008,305045
9/1/2008,305309
10/1/2008,305554
11/1/2008,305786
12/1/2008,306004
1/1/2009,306208
2/1/2009,306402
3/1/2009,306588
4/1/2009,306787
5/1/2009,306984
6/1/2009,307206
7/1/2009,307439
8/1/2009,307685
9/1/2009,307946
10/1/2009,308189
11/1/2009,308418
12/1/2009,308633
1/1/2010,308833
2/1/2010,309027
3/1/2010,309212
4/1/2010,309191.211
5/1/2010,309369.053
6/1/2010,309548.502
7/1/2010,309745.698
8/1/2010,309957.775
9/1/2010,310176.466
10/1/2010,310399.958
11/1/2010,310595.764
12/1/2010,310781.705
1/1/2011,310960.74
2/1/2011,311113.376
3/1/2011,311265.404
4/1/2011,311436.238
5/1/2011,311607.08
6/1/2011,311791.223
7/1/2011,311997.049
8/1/2011,312205.367
9/1/2011,312429.118
10/1/2011,312644.159
11/1/2011,312829.523
12/1/2011,313009.712
1/1/2012,313183.179
2/1/2012,313338.977
3/1/2012,313499.369
4/1/2012,313667.127
5/1/2012,313830.53
6/1/2012,314017.594
7/1/2012,314210.786
8/1/2012,314422.341
9/1/2012,314646.749
10/1/2012,314853.978
11/1/2012,315053.863
12/1/2012,315232.752
1/1/2013,315389.595
2/1/2013,315520.143
3/1/2013,315662.224
4/1/2013,315817.855
5/1/2013,315983.654
6/1/2013,316171.042
7/1/2013,316358.778
8/1/2013,316580.327
9/1/2013,316806.125
10/1/2013,317022.27
11/1/2013,317228.026
12/1/2013,317411.551
1/1/2014,317593.923
2/1/2014,317753.883
3/1/2014,317917.203
4/1/2014,318089.218
5/1/2014,318269.505
6/1/2014,318464.152
7/1/2014,318662.368
8/1/2014,318893.786
9/1/2014,319125.296
10/1/2014,319353.734
11/1/2014,319564.209
12/1/2014,319746.157
1/1/2015,319928.646
2/1/2015,320074.511
3/1/2015,320230.786
4/1/2015,320402.295
5/1/2015,320583.972
6/1/2015,320773.558
7/1/2015,320978.213
8/1/2015,321202.45
9/1/2015,321427.611
10/1/2015,321653.019
11/1/2015,321856.265
12/1/2015,322043.071
1/1/2016,322232.862
2/1/2016,322398.098
3/1/2016,322551.468
4/1/2016,322721.212
5/1/2016,322899.995
6/1/2016,323088.466
7/1/2016,323291.042
8/1/2016,323501.361
9/1/2016,323709.851
10/1/2016,323919.726
11/1/2016,324106.527
12/1/2016,324274.912
1/1/2017,324438.195
2/1/2017,324581.497
3/1/2017,324713.97
4/1/2017,324861.757
5/1/2017,325019.199
6/1/2017,325186.237
7/1/2017,325367.612
8/1/2017,325567.716
9/1/2017,325766.019
10/1/2017,325965.952
11/1/2017,326142.633
12/1/2017,326301.399
1/1/2018,326454.123
2/1/2018,326600.823
3/1/2018,326736.69
4/1/2018,326887.866
5/1/2018,327048.704
6/1/2018,327219.14
7/1/2018,327403.909
8/1/2018,327600.25
9/1/2018,327794.788
10/1/2018,327990.95
11/1/2018,328163.864
12/1/2018,328318.861
1/1/2019,328467.812
2/1/2019,328610.744
3/1/2019,328742.843
4/1/2019,328890.25
5/1/2019,329047.319
6/1/2019,329213.989
7/1/2019,329394.993
8/1/2019,329591.333
9/1/2019,329785.872
10/1/2019,329982.035
11/1/2019,330154.949
12/1/2019,330309.946
